epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,293.692,1.77941,3.45026,3.28226,1.95252,0,0.17913,0.26717,0.10923,0.06013,0.17913,0.26717,0.10802,0.06253,1.6447,2.97409,2.60902,1.78751,0,0.000332877,0.000332877,0.0670452
2,579.525,1.76817,3.2841,3.04892,1.95594,0,0.21057,0.27914,0.14284,0.09423,0.21009,0.27851,0.14207,0.0914,1.34321,2.83281,2.79398,1.53675,0,0.000665758,0.000665758,0.0340448
3,864.208,1.66517,3.13863,2.796,1.86476,0,0.16467,0.29994,0.10859,0.07884,0.16432,0.29931,0.10815,0.07441,1.24215,2.64358,2.61757,1.45708,0,0.000996833,0.000996833,0.0010425
4,1148.2,1.62725,3.02226,2.71436,1.833,0,0.26615,0.29742,0.18625,0.13459,0.26501,0.29805,0.18501,0.1305,1.15985,2.50934,2.30735,1.40739,0,0.000993906,0.000993906,0.000993906
5,1432.7,1.52188,2.86257,2.68003,1.74284,0,0.2682,0.2281,0.16072,0.11076,0.26851,0.22558,0.15387,0.10411,1.25135,3.04394,2.3332,1.46906,0,0.000989183,0.000989183,0.000989183
6,1716.78,1.5104,2.77404,2.51545,1.72897,0,0.26229,0.33207,0.21264,0.15494,0.26124,0.32755,0.21148,0.15759,1.1749,2.22595,2.12007,1.40621,0,0.000983133,0.000983133,0.000983133
7,2001.38,1.50376,2.81315,2.48996,1.73072,0,0.24725,0.30057,0.17181,0.12701,0.24674,0.29994,0.1711,0.12484,1.14089,2.46916,2.03549,1.36858,0,0.000975773,0.000975773,0.000975773
8,2285.73,1.46409,2.76218,2.44943,1.68946,0,0.28005,0.30624,0.18794,0.14091,0.28005,0.30624,0.1878,0.1454,0.98481,2.28513,2.37369,1.28079,0,0.000967122,0.000967122,0.000967122
9,2569.62,1.45325,2.68111,2.4355,1.68528,0,0.27833,0.33333,0.19523,0.13619,0.27781,0.3327,0.19416,0.14024,1.14757,2.36199,2.10391,1.38375,0,0.000957205,0.000957205,0.000957205
10,2853.3,1.42794,2.60849,2.37325,1.6532,0,0.27795,0.30057,0.20746,0.1574,0.27795,0.30057,0.20727,0.16233,1.08008,2.18753,2.00839,1.33641,0,0.000946048,0.000946048,0.000946048
11,3137.42,1.42933,2.62501,2.37483,1.66614,0,0.34439,0.31821,0.24788,0.18706,0.34439,0.31821,0.24789,0.1917,1.07846,2.14341,1.89129,1.30443,0,0.000933683,0.000933683,0.000933683
12,3421.72,1.36195,2.51442,2.25774,1.61611,0,0.27306,0.3264,0.2013,0.1434,0.27306,0.3264,0.20114,0.15451,1.10967,2.1993,1.97298,1.33348,0,0.000920142,0.000920142,0.000920142
13,3705.47,1.36485,2.55867,2.26112,1.61014,0,0.307,0.30813,0.21617,0.16716,0.30485,0.31002,0.21604,0.16417,0.9311,2.13209,1.90927,1.2522,0,0.000905463,0.000905463,0.000905463
14,3989.17,1.3655,2.51516,2.2852,1.61472,0,0.37267,0.33207,0.28358,0.22661,0.37338,0.3327,0.28404,0.21018,0.92107,2.12054,1.82396,1.25852,0,0.000889687,0.000889687,0.000889687
15,4273.05,1.3392,2.51047,2.21415,1.59094,0,0.21733,0.33837,0.14991,0.11508,0.21902,0.33711,0.14958,0.11285,1.08319,2.14847,2.09731,1.33029,0,0.000872857,0.000872857,0.000872857
16,4556.86,1.35717,2.51131,2.22938,1.61317,0,0.26797,0.30724,0.20858,0.16658,0.26797,0.30724,0.20784,0.15902,0.94365,2.23064,1.88611,1.24881,0,0.000855018,0.000855018,0.000855018
17,4840.68,1.33501,2.48719,2.14806,1.5899,0,0.2623,0.31632,0.19469,0.14061,0.2623,0.31632,0.19384,0.15132,1.21978,2.2086,1.92525,1.40953,0,0.00083622,0.00083622,0.00083622
18,5124.86,1.31429,2.44892,2.1923,1.57124,0,0.35334,0.31065,0.25137,0.19392,0.35406,0.31128,0.25126,0.1886,0.93811,2.1282,1.86639,1.24219,0,0.000816514,0.000816514,0.000816514
19,5408.28,1.31402,2.44351,2.1139,1.569,0,0.27448,0.34783,0.20204,0.15614,0.27448,0.34783,0.20193,0.15785,1.01059,2.07623,1.86459,1.27395,0,0.000795954,0.000795954,0.000795954
20,5692.34,1.28794,2.39286,2.10421,1.5528,0,0.29858,0.28481,0.21344,0.16603,0.29792,0.28418,0.21298,0.16324,1.00472,2.21764,2.08413,1.28444,0,0.000774596,0.000774596,0.000774596
21,5975.71,1.30958,2.43599,2.14045,1.57432,0,0.30281,0.35413,0.25067,0.19322,0.30281,0.35413,0.25072,0.19617,1.09086,2.09656,1.76185,1.31787,0,0.0007525,0.0007525,0.0007525
22,6259.92,1.28439,2.36645,2.20149,1.54743,0,0.37703,0.38059,0.29216,0.23476,0.3753,0.38311,0.29173,0.23225,0.95758,2.06849,1.66247,1.23335,0,0.000729725,0.000729725,0.000729725
23,6544.08,1.30841,2.42526,2.18588,1.56006,0,0.3756,0.35602,0.28843,0.2276,0.37494,0.35539,0.28839,0.22409,0.99258,2.0316,1.6979,1.27274,0,0.000706335,0.000706335,0.000706335
24,6827.94,1.28568,2.37119,2.09695,1.5445,0,0.33309,0.33707,0.25375,0.19154,0.33247,0.33644,0.25256,0.19555,1.1056,2.01297,1.80806,1.32654,0,0.000682392,0.000682392,0.000682392
25,7111.5,1.266,2.3614,2.03507,1.53703,0,0.36104,0.38941,0.28481,0.22601,0.35956,0.3913,0.28431,0.22397,0.98582,2.01418,1.72785,1.26488,0,0.000657963,0.000657963,0.000657963
26,7395.56,1.26994,2.35383,2.0288,1.53884,0,0.37691,0.36736,0.29468,0.22304,0.37691,0.36736,0.29462,0.22891,1.0678,1.93316,1.64778,1.28846,0,0.000633115,0.000633115,0.000633115
27,7679.37,1.2829,2.37871,2.05345,1.54696,0,0.33822,0.34362,0.25944,0.20544,0.33822,0.34362,0.25952,0.20611,1.00508,1.99714,1.77148,1.27847,0,0.000607916,0.000607916,0.000607916
28,7963.57,1.27998,2.35379,2.02611,1.53794,0,0.3692,0.36232,0.28494,0.23166,0.36998,0.36043,0.28432,0.22502,0.89704,1.96163,1.83365,1.2114,0,0.000582435,0.000582435,0.000582435
29,8247.38,1.25776,2.30634,2.01194,1.52197,0,0.34919,0.36176,0.28327,0.2283,0.34798,0.3605,0.2815,0.22165,0.88116,2.05162,1.68951,1.19719,0,0.000556742,0.000556742,0.000556742
30,8531.57,1.23139,2.27658,1.96493,1.50608,0,0.37539,0.32766,0.27847,0.22627,0.377,0.32388,0.27784,0.21491,0.8983,2.05197,1.71625,1.21276,0,0.000530906,0.000530906,0.000530906
31,8815.16,1.24974,2.33933,2.04948,1.52518,0,0.35466,0.34422,0.27474,0.22308,0.35466,0.34422,0.27465,0.21778,0.92995,1.96302,1.69785,1.23024,0,0.000505,0.000505,0.000505
32,9099.31,1.23256,2.29202,1.93355,1.5135,0,0.38527,0.37051,0.29317,0.24169,0.38527,0.37051,0.2929,0.23165,0.87251,1.98784,1.70288,1.19008,0,0.000479094,0.000479094,0.000479094
33,9383.41,1.23389,2.27461,1.91852,1.49558,0,0.37427,0.36358,0.28567,0.23168,0.37138,0.36547,0.28586,0.22061,0.90346,1.94578,1.69013,1.21373,0,0.000453258,0.000453258,0.000453258
34,9667.46,1.22444,2.29241,1.9117,1.49363,0,0.4246,0.35224,0.31499,0.2507,0.4246,0.35224,0.3149,0.24888,0.95214,1.92284,1.66338,1.22497,0,0.000427565,0.000427565,0.000427565
35,9951.31,1.19429,2.23156,1.92233,1.47481,0,0.4501,0.38122,0.34171,0.26836,0.4501,0.38122,0.34111,0.27374,0.96743,1.88996,1.53069,1.23649,0,0.000402084,0.000402084,0.000402084
36,10235.3,1.21306,2.24282,1.90117,1.48815,0,0.45858,0.35854,0.33446,0.25958,0.45562,0.35854,0.33356,0.26466,0.99288,1.90371,1.56035,1.25489,0,0.000376885,0.000376885,0.000376885
37,10519.4,1.19383,2.22275,1.92036,1.47502,0,0.40822,0.3787,0.31957,0.25754,0.40822,0.3787,0.31931,0.25098,0.90162,1.91894,1.57549,1.2095,0,0.000352037,0.000352037,0.000352037
38,10803.1,1.20158,2.24417,1.86174,1.48713,0,0.4299,0.37114,0.3245,0.2588,0.4299,0.37114,0.32438,0.25493,0.94115,1.93765,1.59632,1.22551,0,0.000327608,0.000327608,0.000327608
39,11086.8,1.18378,2.2361,1.86318,1.46822,0,0.4066,0.39887,0.32244,0.25986,0.4066,0.39887,0.32186,0.24925,0.89461,1.92539,1.55412,1.20027,0,0.000303665,0.000303665,0.000303665
40,11370.8,1.17697,2.20063,1.79462,1.46102,0,0.37648,0.38579,0.30115,0.24576,0.37648,0.38579,0.30091,0.23281,0.86065,1.92821,1.6042,1.18436,0,0.000280275,0.000280275,0.000280275
41,11655.1,1.18456,2.19123,1.85061,1.4691,0,0.42352,0.38878,0.33571,0.27594,0.42352,0.38878,0.33557,0.26442,0.85669,1.89112,1.5524,1.17537,0,0.0002575,0.0002575,0.0002575
42,11939.2,1.15695,2.17454,1.77543,1.45131,0,0.42908,0.4068,0.35559,0.28294,0.42908,0.4068,0.35547,0.28216,0.95797,1.88044,1.4989,1.22367,0,0.000235404,0.000235404,0.000235404
43,12224,1.1546,2.16697,1.82023,1.44116,0,0.43629,0.37996,0.34513,0.27663,0.43629,0.37996,0.34484,0.27244,0.91286,1.87039,1.48545,1.20559,0,0.000214046,0.000214046,0.000214046
44,12509,1.16973,2.18243,1.77051,1.44945,0,0.42455,0.38815,0.33866,0.27112,0.42455,0.38815,0.33813,0.26702,0.93921,1.88758,1.53875,1.21055,0,0.000193486,0.000193486,0.000193486
45,12793.5,1.15385,2.16571,1.77742,1.42926,0,0.46049,0.39316,0.34381,0.27838,0.46049,0.39316,0.34331,0.27076,0.87177,1.8515,1.51928,1.17597,0,0.00017378,0.00017378,0.00017378
46,13078.7,1.17885,2.19892,1.77389,1.45748,0,0.43507,0.38689,0.3538,0.28219,0.44545,0.38059,0.35369,0.27973,0.9453,1.87002,1.48393,1.21865,0,0.000154982,0.000154982,0.000154982
47,13363.6,1.15506,2.12653,1.82665,1.44712,0,0.43844,0.38865,0.33941,0.2767,0.43844,0.38865,0.33937,0.26422,0.8656,1.91606,1.51313,1.17723,0,0.000137143,0.000137143,0.000137143
48,13648.9,1.1404,2.14836,1.70683,1.43364,0,0.44346,0.38761,0.34549,0.27825,0.44346,0.38761,0.34583,0.26743,0.89324,1.87939,1.50483,1.19055,0,0.000120313,0.000120313,0.000120313
49,13933.8,1.14171,2.13173,1.83535,1.42736,0,0.41516,0.37303,0.32277,0.26447,0.41446,0.3724,0.32219,0.25276,0.85055,1.87665,1.55343,1.17149,0,0.000104537,0.000104537,0.000104537
50,14219.2,1.1332,2.1135,1.69323,1.41743,0,0.45848,0.38359,0.3476,0.27847,0.459,0.38059,0.34746,0.2738,0.91349,1.83823,1.48672,1.20051,0,8.98581e-05,8.98581e-05,8.98581e-05
51,14504.3,1.07299,1.93597,1.62994,1.37439,0,0.44886,0.39572,0.3526,0.28367,0.44815,0.39509,0.3519,0.27928,0.89796,1.83809,1.49203,1.18595,0,7.63174e-05,7.63174e-05,7.63174e-05
52,14789.3,1.05842,1.94898,1.62056,1.36364,0,0.46723,0.40139,0.36301,0.29768,0.46723,0.40139,0.36235,0.28622,0.84241,1.83307,1.44161,1.16051,0,6.39518e-05,6.39518e-05,6.39518e-05
53,15074.3,1.07384,1.95296,1.62637,1.36983,0,0.46767,0.39526,0.36298,0.29776,0.46767,0.39526,0.36269,0.28854,0.84218,1.83501,1.43973,1.15693,0,5.2795e-05,5.2795e-05,5.2795e-05
