epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7753,1.91317,2.98568,2.4588,1.98313,0,0.16426,0.15146,0.13666,0.05796,0.6439,0.13006,0.10293,0.02986,2.09852,9.10687,6.98068,2.50925,0,0.000331551,0.000331551,0.0671765
2,158.413,1.87742,2.7704,2.12286,1.96613,0,0.59221,0.12392,0.06756,0.02214,0.60316,0.12909,0.06761,0.02279,2.37072,4.27543,3.47488,2.76473,0,0.000664722,0.000664722,0.0341763
3,233.855,1.8564,2.8152,2.11978,1.95791,0,0.5698,0.15835,0.06401,0.02423,0.57105,0.16093,0.06128,0.02296,2.22747,4.02435,6.55576,2.5769,0,0.000997242,0.000997242,0.0011755
4,308.585,1.82457,2.69005,2.04117,1.93118,0,0.63846,0.11962,0.08973,0.03581,0.62352,0.10671,0.07587,0.0268,2.2249,4.31675,3.38451,2.54476,0,0.000997803,0.000997803,0.000997803
5,383.762,1.81098,2.67817,2.00437,1.93066,0,0.65334,0.19707,0.157,0.07059,0.66117,0.21286,0.17636,0.07893,1.858,2.75429,2.79454,2.2114,0,0.000996097,0.000996097,0.000996097
6,459.412,1.77675,2.63958,1.97801,1.89006,0,0.64695,0.19621,0.14476,0.06126,0.65193,0.20998,0.15586,0.06399,2.04898,3.02208,3.51854,2.43515,0,0.000993906,0.000993906,0.000993906
7,534.668,1.76766,2.59893,1.92879,1.87855,0,0.35078,0.26092,0.23834,0.10919,0.3607,0.26952,0.24895,0.1149,1.80334,2.75323,2.50015,2.18343,0,0.000991232,0.000991232,0.000991232
8,610.219,1.75613,2.5984,1.9059,1.88905,0,0.3041,0.34845,0.28527,0.14167,0.3115,0.36221,0.29581,0.14809,1.80645,2.71065,2.2536,2.12833,0,0.000988079,0.000988079,0.000988079
9,685.546,1.72263,2.51222,1.82413,1.84553,0,0.7,0.20568,0.2157,0.09919,0.70902,0.22461,0.23551,0.10862,1.8782,2.67993,2.44223,2.22538,0,0.000984449,0.000984449,0.000984449
10,761.05,1.72913,2.50529,1.84908,1.84278,0,0.29708,0.34275,0.29197,0.13625,0.38061,0.30161,0.30957,0.1471,1.84835,2.79218,2.28004,2.18501,0,0.000980345,0.000980345,0.000980345
11,836.365,1.68605,2.44195,1.74303,1.82789,0,0.7012,0.22978,0.24494,0.11837,0.70938,0.2443,0.25982,0.1283,1.76444,2.61049,2.26563,2.11283,0,0.000975773,0.000975773,0.000975773
12,911.442,1.70695,2.46518,1.75865,1.83329,0,0.29683,0.32916,0.31762,0.15891,0.80216,0.25129,0.33497,0.17429,1.7443,2.51368,2.09599,2.09705,0,0.000970736,0.000970736,0.000970736
13,987.145,1.68515,2.4581,1.73791,1.80727,0,0.20787,0.47801,0.24231,0.11426,0.21551,0.48885,0.25433,0.12933,1.77067,2.36559,2.25383,2.11435,0,0.000965239,0.000965239,0.000965239
14,1062.72,1.66061,2.39575,1.70914,1.8094,0,0.26558,0.41132,0.31458,0.15821,0.26994,0.41592,0.32952,0.16742,1.68033,2.44076,2.19047,2.04073,0,0.000959289,0.000959289,0.000959289
15,1137.96,1.66184,2.41972,1.69222,1.79789,0,0.7429,0.16749,0.22859,0.11332,0.75691,0.16609,0.2195,0.09865,1.90086,3.46964,2.48587,2.25301,0,0.000952889,0.000952889,0.000952889
