epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,146.27,1.91844,3.02773,2.42975,1.95941,0,0.70134,0.14725,0.13486,0.04886,0.60508,0.06988,0.03719,0.00723,2.22983,7.95287,2.92007,2.57824,0,0.000332449,0.000332449,0.0670875
2,287.448,1.89551,2.85941,2.24322,1.98913,0,0.67107,0.20076,0.14691,0.06781,0.66918,0.20216,0.14526,0.06309,2.06125,3.58426,5.5219,2.38365,0,0.00066562,0.00066562,0.0340874
3,428.583,1.84838,2.80206,2.20056,1.97587,0,0.67967,0.19738,0.17068,0.06608,0.68444,0.18968,0.1726,0.06597,2.10281,3.27363,2.71954,2.36846,0,0.00099814,0.00099814,0.00108656
4,570.161,1.81967,2.72073,2.08842,1.91808,0,0.29803,0.23025,0.23171,0.10925,0.30285,0.22866,0.23048,0.09544,1.77097,3.018,2.64185,2.06947,0,0.000997803,0.000997803,0.000997803
5,711.055,1.78684,2.64978,2.01573,1.9074,0,0.27898,0.31828,0.23805,0.10382,0.28181,0.3278,0.24739,0.11752,1.86823,2.58805,2.27902,2.10942,0,0.000996097,0.000996097,0.000996097
6,852.177,1.76412,2.61389,1.96407,1.89529,0,0.7982,0.24376,0.30966,0.15769,0.81,0.25042,0.32028,0.17372,1.75108,2.56468,2.11308,2.02881,0,0.000993906,0.000993906,0.000993906
7,993.903,1.73846,2.56442,1.94998,1.87612,0,0.74505,0.28785,0.2988,0.15641,0.75388,0.29779,0.31475,0.16824,1.61429,2.32243,2.1497,1.92437,0,0.000991232,0.000991232,0.000991232
8,1135.36,1.70774,2.51012,1.85423,1.84385,0,0.74092,0.26846,0.25314,0.12333,0.7445,0.27787,0.26457,0.13113,1.76315,2.59725,2.59686,2.07549,0,0.000988079,0.000988079,0.000988079
9,1276.73,1.70281,2.49253,1.82244,1.82636,0,0.77502,0.29118,0.33383,0.171,0.77903,0.29729,0.34084,0.18162,1.69037,2.34686,1.97757,1.95366,0,0.000984449,0.000984449,0.000984449
10,1418.48,1.6881,2.45967,1.79481,1.82632,0,0.27852,0.26206,0.30225,0.15252,0.28407,0.26872,0.31208,0.1563,1.69278,2.39956,1.94226,1.97103,0,0.000980345,0.000980345,0.000980345
11,1559.86,1.70216,2.47836,1.80831,1.83242,0,0.32273,0.38619,0.3529,0.19041,0.32367,0.38785,0.3557,0.18769,1.56681,2.42344,1.9353,1.88506,0,0.000975773,0.000975773,0.000975773
12,1701.7,1.66321,2.42327,1.76467,1.80535,0,0.79336,0.28228,0.34288,0.17285,0.79832,0.28619,0.35333,0.18413,1.66515,2.29667,1.92631,1.92297,0,0.000970736,0.000970736,0.000970736
13,1843.14,1.65449,2.4042,1.74343,1.79056,0,0.37778,0.4164,0.40218,0.22376,0.38883,0.42848,0.41494,0.22878,1.5687,2.34489,1.77676,1.85844,0,0.000965239,0.000965239,0.000965239
14,1985.33,1.64688,2.39962,1.71699,1.80169,0,0.32783,0.46176,0.36656,0.20633,0.33085,0.46471,0.37219,0.2114,1.56317,2.20018,1.80319,1.85281,0,0.000959289,0.000959289,0.000959289
15,2126.8,1.62246,2.34781,1.66491,1.7541,0,0.78059,0.30033,0.3452,0.17965,0.79483,0.31115,0.36865,0.19109,1.59613,2.25072,1.84099,1.90906,0,0.000952889,0.000952889,0.000952889
16,2268.17,1.64077,2.39614,1.71993,1.79154,0,0.30335,0.47447,0.39198,0.22235,0.30861,0.48075,0.39977,0.22564,1.48962,2.17255,1.74784,1.79458,0,0.000946048,0.000946048,0.000946048
17,2409.53,1.63065,2.37513,1.68502,1.77397,0,0.31043,0.36524,0.35923,0.19429,0.31101,0.36773,0.36713,0.20365,1.5339,2.12607,1.79104,1.83585,0,0.000938772,0.000938772,0.000938772
18,2551.07,1.61328,2.3456,1.65351,1.75659,0,0.80687,0.31364,0.35919,0.19387,0.81589,0.3203,0.3692,0.20119,1.60768,2.35283,1.90656,1.92686,0,0.000931067,0.000931067,0.000931067
19,2692.48,1.62664,2.36763,1.64317,1.78209,0,0.28311,0.49935,0.38691,0.22749,0.28575,0.49981,0.39644,0.22628,1.48685,2.10134,1.70993,1.79589,0,0.000922942,0.000922942,0.000922942
20,2834.15,1.60384,2.29861,1.61396,1.75749,0,0.32336,0.47114,0.41966,0.23906,0.32981,0.48053,0.43061,0.2427,1.47274,2.07084,1.61547,1.77889,0,0.000914405,0.000914405,0.000914405
21,2976.19,1.61948,2.3379,1.61484,1.76101,0,0.36027,0.42902,0.36837,0.20783,0.36791,0.43575,0.37392,0.20299,1.52382,2.22491,1.70869,1.85009,0,0.000905463,0.000905463,0.000905463
22,3117.84,1.59996,2.30242,1.58659,1.74614,0,0.81504,0.34692,0.40367,0.22949,0.82317,0.34819,0.40957,0.23175,1.52537,2.24551,1.69255,1.83986,0,0.000896127,0.000896127,0.000896127
23,3259.25,1.60294,2.29795,1.56239,1.75231,0,0.83879,0.32869,0.42753,0.23351,0.84998,0.33028,0.43449,0.2257,1.52002,2.21457,1.6259,1.83203,0,0.000886404,0.000886404,0.000886404
24,3400.77,1.61156,2.31284,1.57581,1.74982,0,0.38447,0.41668,0.36802,0.21002,0.39629,0.42334,0.3764,0.20581,1.43423,2.19565,1.70892,1.74775,0,0.000876305,0.000876305,0.000876305
25,3542.5,1.57006,2.25815,1.53582,1.72086,0,0.5245,0.37415,0.40046,0.23182,0.53948,0.37748,0.40835,0.2331,1.48182,2.08603,1.64843,1.82124,0,0.000865839,0.000865839,0.000865839
26,3683.84,1.58641,2.28626,1.56985,1.7455,0,0.39407,0.46593,0.42837,0.2488,0.40479,0.46585,0.43797,0.26109,1.44933,1.9703,1.51679,1.75811,0,0.000855018,0.000855018,0.000855018
27,3825.92,1.58213,2.2738,1.54412,1.73644,0,0.39358,0.45558,0.4142,0.23282,0.40446,0.46814,0.42718,0.2418,1.52205,2.09598,1.61714,1.79528,0,0.000843851,0.000843851,0.000843851
