epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4956,1.5341,2.13658,1.57676,1.91228,0,0.46521,0.48825,0.47567,0.28442,0.46515,0.51344,0.48492,0.28906,1.40394,1.97678,1.50229,1.81831,0,0.0001,0.0001,0.0001
2,68.3932,1.51602,2.18397,1.57601,1.93154,0,0.38683,0.49377,0.42569,0.25466,0.39477,0.50421,0.44158,0.25802,1.39643,1.93479,1.62017,1.82042,0,9.97288e-05,9.97288e-05,9.97288e-05
3,100.862,1.46133,2.14738,1.51254,1.86317,0,0.43605,0.5089,0.46022,0.27764,0.4407,0.51556,0.47204,0.2769,1.39685,1.97393,1.47902,1.81593,0,9.89183e-05,9.89183e-05,9.89183e-05
4,133.147,1.45874,2.13019,1.47813,1.85682,0,0.43895,0.51655,0.47067,0.2828,0.44075,0.5365,0.48259,0.28335,1.40781,1.96605,1.44591,1.81641,0,9.75773e-05,9.75773e-05,9.75773e-05
5,165.566,1.48496,2.18459,1.50898,1.87918,0,0.40445,0.54204,0.47397,0.28802,0.40842,0.54869,0.48471,0.28701,1.38169,1.93707,1.43948,1.80242,0,9.57205e-05,9.57205e-05,9.57205e-05
6,198.246,1.46556,2.21035,1.56742,1.84489,0,0.41702,0.55536,0.47108,0.29061,0.42445,0.5658,0.48456,0.28586,1.36579,1.93365,1.41511,1.78572,0,9.33683e-05,9.33683e-05,9.33683e-05
7,230.85,1.43113,2.12935,1.48826,1.84611,0,0.43161,0.52658,0.46804,0.28404,0.44697,0.53532,0.48523,0.28702,1.38047,1.92887,1.4498,1.78861,0,9.05463e-05,9.05463e-05,9.05463e-05
8,263.224,1.42391,2.08885,1.45291,1.83843,0,0.41897,0.53301,0.47184,0.28514,0.43303,0.54371,0.48459,0.28772,1.39028,1.93421,1.47895,1.79551,0,8.72857e-05,8.72857e-05,8.72857e-05
9,295.373,1.43208,2.06162,1.46979,1.83308,0,0.40139,0.55195,0.47143,0.28845,0.40916,0.56322,0.4834,0.28809,1.3781,1.9367,1.47439,1.78743,0,8.3622e-05,8.3622e-05,8.3622e-05
10,328.249,1.42143,2.10856,1.46965,1.83997,0,0.35509,0.56534,0.46567,0.28242,0.37277,0.56304,0.47739,0.28442,1.38732,1.9303,1.62135,1.79832,0,7.95954e-05,7.95954e-05,7.95954e-05
