epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2065,1.4267,2.01982,1.31565,1.5639,0,0.49417,0.53463,0.50004,0.31301,0.49157,0.5553,0.50881,0.32491,1.30393,1.75345,1.295,1.56197,0,0.0001,0.0001,0.0001
2,36.5256,1.40918,2.03541,1.33013,1.54751,0,0.45053,0.57261,0.49598,0.30862,0.45532,0.58083,0.51017,0.321,1.32838,1.77319,1.26009,1.575,0,9.97288e-05,9.97288e-05,9.97288e-05
3,53.3312,1.4139,2.02825,1.289,1.54334,0,0.44884,0.57592,0.49787,0.30771,0.45319,0.58895,0.51159,0.3193,1.32421,1.78394,1.2521,1.57299,0,9.89183e-05,9.89183e-05,9.89183e-05
4,70.2047,1.3506,1.92855,1.23006,1.50322,0,0.45964,0.53818,0.49835,0.30853,0.46513,0.55202,0.51328,0.32156,1.33481,1.76287,1.26467,1.58198,0,9.75773e-05,9.75773e-05,9.75773e-05
5,87.1012,1.37243,1.96301,1.26967,1.53622,0,0.47541,0.53788,0.49237,0.30318,0.48311,0.54665,0.50394,0.31784,1.33394,1.76892,1.258,1.5792,0,9.57205e-05,9.57205e-05,9.57205e-05
6,103.999,1.40398,2.04157,1.26828,1.53827,0,0.47373,0.5599,0.49514,0.30405,0.48093,0.56618,0.5039,0.31887,1.32718,1.75554,1.24456,1.57288,0,9.33683e-05,9.33683e-05,9.33683e-05
7,120.913,1.40379,2.00067,1.24008,1.52954,0,0.49075,0.56853,0.49675,0.3082,0.50579,0.5689,0.50623,0.32047,1.31269,1.7514,1.22906,1.55929,0,9.05463e-05,9.05463e-05,9.05463e-05
8,137.943,1.39169,1.98007,1.25888,1.53939,0,0.49516,0.56376,0.49862,0.30909,0.5003,0.57326,0.50786,0.32082,1.31306,1.75751,1.22219,1.56096,0,8.72857e-05,8.72857e-05,8.72857e-05
9,154.735,1.3525,1.92403,1.19684,1.51033,0,0.48609,0.5574,0.49923,0.30742,0.49392,0.57482,0.51323,0.32245,1.32238,1.76022,1.21632,1.57267,0,8.3622e-05,8.3622e-05,8.3622e-05
10,171.683,1.39149,2.0469,1.289,1.53712,0,0.47504,0.56277,0.50265,0.30938,0.48032,0.57417,0.51607,0.32367,1.3309,1.7716,1.22833,1.58113,0,7.95954e-05,7.95954e-05,7.95954e-05
11,188.541,1.36729,1.99304,1.26058,1.53116,0,0.47441,0.55459,0.49851,0.30623,0.4661,0.5716,0.51067,0.31878,1.33106,1.77009,1.24064,1.5822,0,7.525e-05,7.525e-05,7.525e-05
12,205.44,1.38748,1.98249,1.21953,1.52798,0,0.47944,0.56616,0.5032,0.31444,0.48253,0.58608,0.51667,0.32295,1.31855,1.7678,1.21781,1.57475,0,7.06335e-05,7.06335e-05,7.06335e-05
13,222.468,1.3901,2.00953,1.25232,1.53161,0,0.47031,0.57467,0.50589,0.31549,0.47751,0.58307,0.51543,0.32448,1.30448,1.76282,1.20849,1.56517,0,6.57963e-05,6.57963e-05,6.57963e-05
14,239.572,1.38047,1.98448,1.21879,1.51705,0,0.46223,0.572,0.50474,0.31765,0.47058,0.58251,0.51542,0.32492,1.29707,1.76001,1.21391,1.55828,0,6.07916e-05,6.07916e-05,6.07916e-05
15,256.728,1.36176,1.93645,1.20852,1.52297,0,0.46782,0.56655,0.50496,0.31622,0.47527,0.57779,0.51477,0.32381,1.29982,1.75318,1.22059,1.55893,0,5.56742e-05,5.56742e-05,5.56742e-05
16,273.581,1.35246,1.96179,1.21306,1.51313,0,0.46873,0.56443,0.50436,0.31341,0.47343,0.56988,0.51378,0.32341,1.31109,1.75637,1.22934,1.56827,0,5.05e-05,5.05e-05,5.05e-05
17,290.418,1.37371,2.01679,1.23732,1.5192,0,0.47026,0.5636,0.50303,0.31084,0.47392,0.56398,0.51136,0.32147,1.31645,1.76131,1.23941,1.57101,0,4.53258e-05,4.53258e-05,4.53258e-05
18,307.233,1.34618,1.89942,1.18097,1.49526,0,0.4718,0.56413,0.50152,0.30944,0.47753,0.56815,0.51072,0.31979,1.31908,1.76038,1.23932,1.57399,0,4.02084e-05,4.02084e-05,4.02084e-05
19,324.287,1.35381,1.94722,1.20985,1.51927,0,0.47254,0.56481,0.50076,0.30999,0.47773,0.56375,0.51148,0.32011,1.31018,1.75589,1.24097,1.56975,0,3.52037e-05,3.52037e-05,3.52037e-05
20,341.149,1.3321,1.91956,1.17799,1.48993,0,0.47454,0.56996,0.50212,0.31368,0.48048,0.57707,0.51345,0.32238,1.30674,1.75883,1.23584,1.56915,0,3.03665e-05,3.03665e-05,3.03665e-05
21,358.518,1.29413,1.7929,1.08919,1.45966,0,0.47447,0.56239,0.5037,0.31527,0.47985,0.56867,0.51346,0.32317,1.30824,1.75065,1.23225,1.56968,0,2.575e-05,2.575e-05,2.575e-05
22,375.311,1.29478,1.80443,1.10218,1.46318,0,0.47881,0.56435,0.5073,0.31765,0.48973,0.56913,0.51687,0.32517,1.30451,1.74924,1.227,1.56622,0,2.14046e-05,2.14046e-05,2.14046e-05
23,392.412,1.30465,1.76949,1.08155,1.46715,0,0.48278,0.56527,0.50585,0.31833,0.48886,0.57238,0.5165,0.32559,1.30365,1.74736,1.22667,1.56372,0,1.7378e-05,1.7378e-05,1.7378e-05
24,409.693,1.30707,1.80759,1.10381,1.48896,0,0.48956,0.55316,0.5071,0.31824,0.49455,0.55861,0.5164,0.32565,1.30312,1.75182,1.22503,1.56353,0,1.37143e-05,1.37143e-05,1.37143e-05
25,426.491,1.30779,1.77453,1.10366,1.4729,0,0.47946,0.56236,0.50455,0.31707,0.48611,0.56746,0.5148,0.32502,1.3021,1.75263,1.22764,1.56031,0,1.04537e-05,1.04537e-05,1.04537e-05
26,443.51,1.28405,1.75567,1.10436,1.45665,0,0.49088,0.5599,0.50488,0.31761,0.49933,0.55968,0.51601,0.32537,1.30239,1.75059,1.23015,1.56007,0,7.63174e-06,7.63174e-06,7.63174e-06
27,460.216,1.29292,1.75183,1.10995,1.47629,0,0.48552,0.55778,0.50303,0.31598,0.49109,0.56406,0.51376,0.32451,1.30366,1.7532,1.23377,1.56111,0,5.2795e-06,5.2795e-06,5.2795e-06
28,477.027,1.30111,1.76361,1.09746,1.47587,0,0.49193,0.55611,0.50319,0.31648,0.5001,0.56165,0.51527,0.32496,1.30197,1.75198,1.22976,1.55913,0,3.4227e-06,3.4227e-06,3.4227e-06
29,493.757,1.27679,1.77153,1.09013,1.45197,0,0.4866,0.55084,0.50331,0.31657,0.49293,0.55795,0.51514,0.32478,1.30333,1.74904,1.22858,1.5602,0,2.08169e-06,2.08169e-06,2.08169e-06
30,510.544,1.28561,1.75993,1.09289,1.46312,0,0.49049,0.55116,0.50435,0.31857,0.49618,0.55744,0.51587,0.32673,1.30275,1.75051,1.22513,1.56112,0,1.27117e-06,1.27117e-06,1.27117e-06
