epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2396,2.38036,3.56604,2.91931,2.29527,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00496711,0.00496711,0.005625
2,121.61,2.15253,2.98065,2.26572,2.12546,0,0.04889,0.07488,0.02643,0.00749,0.05702,0.0624,0.02295,0.00534,2.42473,5.06578,21.4812,2.8867,0,0.00495083,0.00495083,0.00495083
3,180.903,2.01688,2.75176,2.10318,2.01801,0,0.13278,0.10815,0.06968,0.02196,0.13374,0.12146,0.07564,0.02007,2.28087,4.29218,4.15014,2.72217,0,0.00480548,0.00480548,0.00480548
4,240.076,1.91286,2.61712,2.00024,1.95591,0,0.10358,0.12729,0.05643,0.0153,0.09934,0.12812,0.05413,0.01439,2.30833,4.2037,4.32343,2.74171,0,0.00457029,0.00457029,0.00457029
5,298.849,1.89949,2.5612,1.92574,1.92719,0,0.15624,0.11564,0.09385,0.03023,0.16083,0.11814,0.09214,0.02712,2.20702,4.06771,4.13799,2.63928,0,0.00425554,0.00425554,0.00425554
6,358.701,1.8579,2.52624,1.87199,1.89812,0,0.63696,0.13841,0.09123,0.03154,0.6451,0.13727,0.09579,0.02972,2.12058,3.84441,3.38221,2.54181,0,0.003875,0.003875,0.003875
7,417.713,1.82436,2.45729,1.80612,1.87114,0,0.18395,0.12729,0.11993,0.04192,0.18275,0.14393,0.12801,0.04469,2.12943,3.65499,3.54552,2.50597,0,0.00344529,0.00344529,0.00344529
8,477.115,1.78631,2.39889,1.74466,1.83089,0,0.13289,0.08819,0.06005,0.02018,0.14042,0.09318,0.06286,0.02093,2.17012,3.73695,8.91894,2.55403,0,0.00298519,0.00298519,0.00298519
9,535.81,1.74766,2.36043,1.66676,1.79725,0,0.12706,0.11647,0.07458,0.02205,0.1148,0.12313,0.06952,0.01918,2.26591,3.86187,3.71195,2.62827,0,0.00251481,0.00251481,0.00251481
10,594.426,1.72649,2.31068,1.65667,1.78447,0,0.16132,0.15557,0.11721,0.03981,0.174,0.15474,0.12648,0.04206,2.102,3.59,3.28542,2.49038,0,0.00205471,0.00205471,0.00205471
11,653.128,1.70053,2.27487,1.59162,1.75509,0,0.20886,0.17554,0.16199,0.0563,0.22462,0.17711,0.16604,0.05644,1.99955,3.26862,2.99473,2.36326,0,0.001625,0.001625,0.001625
12,712.065,1.69938,2.23185,1.55225,1.73422,0,0.18552,0.15724,0.13111,0.04152,0.19677,0.16196,0.12869,0.04183,2.00132,3.17806,3.20564,2.35403,0,0.00124446,0.00124446,0.00124446
13,770.816,1.65243,2.18478,1.48928,1.69887,0,0.71481,0.20867,0.17124,0.06452,0.73005,0.203,0.18109,0.06316,1.91416,3.29115,3.00849,2.25595,0,0.000929712,0.000929712,0.000929712
14,829.859,1.64208,2.17993,1.47138,1.69579,0,0.72498,0.18989,0.16374,0.06008,0.74368,0.18968,0.17264,0.06203,1.92961,3.14376,3.013,2.32747,0,0.000694523,0.000694523,0.000694523
15,888.529,1.62162,2.1502,1.45054,1.67819,0,0.22987,0.19115,0.18406,0.06746,0.2411,0.20466,0.19785,0.06926,1.93721,3.12488,2.97182,2.31359,0,0.000549168,0.000549168,0.000549168
