epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3823,1.39597,2.07457,1.34977,1.66531,0,0.45924,0.52947,0.48949,0.30672,0.46609,0.53968,0.50274,0.31272,1.29182,1.77786,1.28425,1.58788,0,0.0001,0.0001,0.0001
2,66.6851,1.38853,2.08625,1.38332,1.66109,0,0.45296,0.54638,0.4885,0.30069,0.44893,0.56413,0.49687,0.30693,1.30998,1.7732,1.26806,1.60952,0,9.97288e-05,9.97288e-05,9.97288e-05
3,98.5276,1.37017,2.0113,1.29673,1.63717,0,0.42349,0.56814,0.49521,0.31283,0.42726,0.57525,0.50111,0.31354,1.28565,1.78908,1.23983,1.59581,0,9.89183e-05,9.89183e-05,9.89183e-05
4,130.757,1.35956,1.97079,1.31293,1.63929,0,0.47295,0.5036,0.49192,0.30873,0.47732,0.50988,0.4986,0.31114,1.29307,1.815,1.23916,1.5993,0,9.75773e-05,9.75773e-05,9.75773e-05
5,162.582,1.372,2.03832,1.3467,1.6491,0,0.40698,0.57685,0.48439,0.29552,0.412,0.58396,0.49048,0.29939,1.3262,1.81063,1.27571,1.619,0,9.57205e-05,9.57205e-05,9.57205e-05
6,194.495,1.37366,2.07683,1.33378,1.63753,0,0.43314,0.55309,0.48819,0.30355,0.4399,0.56148,0.49865,0.30673,1.29361,1.79298,1.26262,1.59942,0,9.33683e-05,9.33683e-05,9.33683e-05
7,226.414,1.37301,2.01978,1.30266,1.63584,0,0.43831,0.56746,0.49627,0.31483,0.44267,0.56447,0.50662,0.31698,1.28143,1.78352,1.2466,1.59454,0,9.05463e-05,9.05463e-05,9.05463e-05
8,258.62,1.37623,2.05631,1.30009,1.63855,0,0.47099,0.52259,0.5015,0.31629,0.47513,0.53273,0.50964,0.31829,1.28678,1.79161,1.23493,1.60187,0,8.72857e-05,8.72857e-05,8.72857e-05
9,290.757,1.327,1.9383,1.24029,1.60341,0,0.46177,0.52758,0.50228,0.31252,0.46454,0.53258,0.51018,0.31412,1.2931,1.80033,1.23738,1.60479,0,8.3622e-05,8.3622e-05,8.3622e-05
10,322.651,1.38312,2.07023,1.32642,1.65933,0,0.40076,0.59354,0.49366,0.30608,0.4044,0.60899,0.50112,0.30714,1.29724,1.80419,1.2442,1.60447,0,7.95954e-05,7.95954e-05,7.95954e-05
11,354.423,1.35643,2.03992,1.314,1.64593,0,0.41202,0.58206,0.49201,0.30605,0.4165,0.58834,0.50119,0.30743,1.29054,1.7976,1.23976,1.59608,0,7.525e-05,7.525e-05,7.525e-05
12,386.573,1.37251,2.06577,1.31442,1.651,0,0.44813,0.54584,0.49231,0.30607,0.45336,0.55212,0.49942,0.31026,1.29441,1.78506,1.25141,1.59121,0,7.06335e-05,7.06335e-05,7.06335e-05
13,418.389,1.38387,2.03704,1.31505,1.65169,0,0.46087,0.5493,0.50191,0.31361,0.46688,0.55641,0.50989,0.31853,1.29868,1.78397,1.22849,1.59103,0,6.57963e-05,6.57963e-05,6.57963e-05
14,450.274,1.35183,1.996,1.26429,1.61728,0,0.41028,0.59156,0.49705,0.31408,0.41743,0.60162,0.50586,0.3164,1.29187,1.78729,1.23127,1.58662,0,6.07916e-05,6.07916e-05,6.07916e-05
15,482.284,1.33926,1.96949,1.2584,1.61067,0,0.41656,0.56345,0.49536,0.31213,0.42265,0.5583,0.50301,0.31201,1.28487,1.78859,1.24067,1.58298,0,5.56742e-05,5.56742e-05,5.56742e-05
16,514.049,1.34488,1.98871,1.2744,1.62501,0,0.4324,0.55808,0.49627,0.31125,0.43611,0.56269,0.50497,0.31161,1.28371,1.78133,1.23248,1.58568,0,5.05e-05,5.05e-05,5.05e-05
17,545.881,1.34118,2.02244,1.28347,1.63032,0,0.43881,0.55097,0.49711,0.31322,0.4424,0.56442,0.50566,0.31286,1.28794,1.77502,1.23283,1.59189,0,4.53258e-05,4.53258e-05,4.53258e-05
18,577.801,1.31603,1.94116,1.22044,1.60637,0,0.444,0.53788,0.49549,0.31191,0.45077,0.54544,0.50551,0.31166,1.28732,1.77283,1.24145,1.59349,0,4.02084e-05,4.02084e-05,4.02084e-05
19,609.625,1.32474,1.97432,1.23961,1.61156,0,0.44797,0.54802,0.50009,0.31458,0.45161,0.55513,0.50891,0.3133,1.29247,1.78311,1.23331,1.60055,0,3.52037e-05,3.52037e-05,3.52037e-05
20,641.455,1.34256,1.96034,1.23485,1.62183,0,0.43801,0.5674,0.49965,0.3115,0.44212,0.57661,0.50514,0.31213,1.28713,1.78216,1.24264,1.59543,0,3.03665e-05,3.03665e-05,3.03665e-05
21,673.894,1.26249,1.81226,1.12692,1.56187,0,0.4268,0.5838,0.49794,0.31028,0.42825,0.59348,0.50258,0.31125,1.29601,1.78809,1.24064,1.60381,0,2.575e-05,2.575e-05,2.575e-05
22,705.635,1.28206,1.8084,1.13546,1.56636,0,0.45958,0.55745,0.49988,0.31217,0.43677,0.58729,0.50484,0.31228,1.29636,1.79384,1.23659,1.60191,0,2.14046e-05,2.14046e-05,2.14046e-05
23,737.342,1.27217,1.82388,1.11992,1.5491,0,0.46068,0.5569,0.50091,0.31263,0.45805,0.56913,0.50754,0.313,1.30191,1.79413,1.2316,1.60512,0,1.7378e-05,1.7378e-05,1.7378e-05
24,769.084,1.26189,1.81029,1.12526,1.56064,0,0.44742,0.56924,0.50026,0.31156,0.45187,0.57715,0.50709,0.31254,1.30146,1.79541,1.23142,1.60518,0,1.37143e-05,1.37143e-05,1.37143e-05
25,800.725,1.27189,1.79498,1.12773,1.56753,0,0.44573,0.57124,0.4981,0.31081,0.44602,0.57715,0.50357,0.3107,1.2972,1.79099,1.23691,1.60216,0,1.04537e-05,1.04537e-05,1.04537e-05
26,832.642,1.25126,1.79649,1.12429,1.54204,0,0.45106,0.56451,0.50121,0.3128,0.45442,0.57237,0.50756,0.3127,1.29958,1.79139,1.23211,1.60489,0,7.63174e-06,7.63174e-06,7.63174e-06
