epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3875,1.87163,2.87261,2.21091,1.72674,0,0.155,0.3244,0.15219,0.06733,0.11116,0.17692,0.06326,0.01511,2.039,6.54026,3.4032,2.22555,0,0.00033157,0.00033157,0.0671746
2,150.14,1.8628,2.74805,2.01767,1.74551,0,0.58612,0.13451,0.06027,0.02494,0.60232,0.13644,0.06992,0.02675,2.01531,3.7878,4.2971,2.2315,0,0.000664741,0.000664741,0.0341744
3,222.411,1.85994,2.68279,1.91895,1.74559,0,0.69458,0.16306,0.1334,0.04441,0.68761,0.15973,0.12542,0.03553,2.35148,4.37077,3.35811,2.5323,0,0.000997261,0.000997261,0.00117363
4,294.902,1.8309,2.62413,1.84324,1.72665,0,0.18767,0.36616,0.24265,0.10922,0.20347,0.38121,0.24935,0.12067,1.89056,2.72954,2.58051,2.11339,0,0.000997803,0.000997803,0.000997803
5,367.377,1.79054,2.55945,1.83652,1.69895,0,0.24197,0.27832,0.25625,0.11769,0.25762,0.27335,0.26866,0.13634,1.83607,2.62434,2.13825,1.93194,0,0.000996097,0.000996097,0.000996097
6,440.151,1.75786,2.51295,1.77322,1.66569,0,0.43265,0.28108,0.27134,0.13545,0.44306,0.28015,0.28112,0.12949,1.64877,2.71465,2.34043,1.83694,0,0.000993906,0.000993906,0.000993906
7,513.212,1.73684,2.47974,1.75523,1.6462,0,0.78592,0.27288,0.32178,0.15536,0.78424,0.27537,0.32719,0.17025,1.83314,2.47482,2.02779,1.98695,0,0.000991232,0.000991232,0.000991232
8,585.786,1.74097,2.47374,1.71807,1.67353,0,0.28115,0.40285,0.28142,0.14279,0.28334,0.40822,0.28804,0.14685,1.74034,2.81002,2.15358,1.91453,0,0.000988079,0.000988079,0.000988079
9,658.303,1.70698,2.43053,1.68241,1.63378,0,0.34056,0.40209,0.34988,0.18108,0.35891,0.38782,0.35813,0.18861,1.71573,2.55189,1.89951,1.88985,0,0.000984449,0.000984449,0.000984449
10,730.795,1.71098,2.39113,1.65354,1.63732,0,0.73151,0.22879,0.19961,0.08758,0.71821,0.23211,0.19254,0.07454,1.94586,3.44355,2.55027,2.1122,0,0.000980345,0.000980345,0.000980345
11,803.052,1.69836,2.40572,1.64563,1.63524,0,0.28977,0.35617,0.30182,0.14884,0.29735,0.37285,0.31891,0.16209,1.70716,2.35284,1.95518,1.87224,0,0.000975773,0.000975773,0.000975773
12,875.553,1.69233,2.36772,1.63927,1.62618,0,0.36212,0.42818,0.3616,0.19478,0.36488,0.43234,0.36518,0.20557,1.59425,2.30043,1.80963,1.8055,0,0.000970736,0.000970736,0.000970736
13,948.301,1.65841,2.34478,1.60132,1.59749,0,0.3169,0.24927,0.24299,0.1162,0.31519,0.24676,0.24323,0.10477,1.79745,3.08442,2.87525,1.95514,0,0.000965239,0.000965239,0.000965239
14,1020.63,1.66045,2.34947,1.57462,1.61465,0,0.34366,0.35381,0.35942,0.19864,0.35293,0.35351,0.36763,0.19916,1.5821,2.393,1.90387,1.77122,0,0.000959289,0.000959289,0.000959289
15,1092.91,1.65568,2.30838,1.58118,1.6058,0,0.49313,0.28627,0.28801,0.14991,0.75525,0.24958,0.28956,0.13723,1.70206,2.62671,2.12199,1.8993,0,0.000952889,0.000952889,0.000952889
16,1165.16,1.67068,2.3354,1.57362,1.63053,0,0.36992,0.38749,0.36992,0.19822,0.36976,0.39331,0.3787,0.21187,1.60862,2.24452,1.83541,1.79679,0,0.000946048,0.000946048,0.000946048
