epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1143,1.40267,2.08355,1.36333,1.70176,0,0.5256,0.57549,0.52551,0.32361,0.55433,0.5571,0.53344,0.32897,1.31971,1.80171,1.28239,1.73201,0,0.0001,0.0001,0.0001
2,68.8598,1.37546,2.03565,1.34661,1.67427,0,0.51046,0.58621,0.51691,0.31997,0.51519,0.58795,0.52563,0.32382,1.30328,1.81145,1.30938,1.72943,0,9.97288e-05,9.97288e-05,9.97288e-05
3,99.6016,1.37896,2.05734,1.32649,1.68629,0,0.46565,0.60598,0.51031,0.31454,0.47133,0.61155,0.5203,0.31859,1.31275,1.81597,1.29604,1.73745,0,9.89183e-05,9.89183e-05,9.89183e-05
4,130.278,1.34909,1.99892,1.27502,1.65479,0,0.45978,0.60819,0.51345,0.31548,0.46794,0.60966,0.52272,0.31744,1.31853,1.81914,1.28601,1.73673,0,9.75773e-05,9.75773e-05,9.75773e-05
5,160.987,1.38502,2.03549,1.33265,1.68663,0,0.4618,0.62619,0.51984,0.31383,0.4673,0.63594,0.52831,0.32148,1.33952,1.81447,1.27872,1.74791,0,9.57205e-05,9.57205e-05,9.57205e-05
6,191.787,1.38866,2.05098,1.34084,1.68659,0,0.50124,0.62161,0.5256,0.32482,0.51182,0.63095,0.53821,0.33067,1.31001,1.81145,1.27173,1.73328,0,9.33683e-05,9.33683e-05,9.33683e-05
7,222.813,1.35858,1.99217,1.29807,1.66723,0,0.51993,0.5876,0.52084,0.32567,0.52901,0.59562,0.53356,0.32726,1.30641,1.82317,1.27642,1.73668,0,9.05463e-05,9.05463e-05,9.05463e-05
8,253.683,1.38946,2.09591,1.3642,1.70296,0,0.50515,0.6059,0.51821,0.32305,0.51311,0.61708,0.53065,0.32556,1.30764,1.81235,1.27784,1.73528,0,8.72857e-05,8.72857e-05,8.72857e-05
9,284.49,1.33532,1.96371,1.25221,1.651,0,0.51196,0.56424,0.52215,0.32275,0.49733,0.61333,0.53356,0.32696,1.31318,1.80399,1.28028,1.73693,0,8.3622e-05,8.3622e-05,8.3622e-05
10,315.099,1.34415,2.02015,1.29552,1.65583,0,0.48625,0.57578,0.5228,0.32252,0.4901,0.57982,0.53044,0.3265,1.31781,1.79896,1.27858,1.7357,0,7.95954e-05,7.95954e-05,7.95954e-05
11,345.91,1.40353,2.09164,1.37241,1.69546,0,0.44894,0.62465,0.52076,0.32305,0.47298,0.58327,0.52955,0.32675,1.31314,1.80311,1.26735,1.73343,0,7.525e-05,7.525e-05,7.525e-05
