epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,308.577,2.07076,3.21116,4.32589,2.08978,0,0.74683,0.09712,0.05616,0.01894,0.75181,0.10671,0.06491,0.02249,2.45636,3.04632,2.94545,2.46075,0,0.000332912,0.000332912,0.0670417
2,607.646,2.09626,3.07915,2.98048,2.17833,0,0.41662,0.03257,0.02641,0.00777,0.44404,0.02156,0.01925,0.00474,2.58093,7.30153,3.19373,2.47471,0,0.000666083,0.000666083,0.0340415
3,905.379,2.04438,2.99277,2.86161,2.14556,0,0.49759,0.18542,0.13609,0.05232,0.52316,0.21591,0.15989,0.05743,2.00365,2.69503,2.15148,2.03322,0,0.000998603,0.000998603,0.00104069
4,1203.42,1.98817,2.90211,2.69287,2.08839,0,0.77975,0.10906,0.11412,0.04429,0.78389,0.11306,0.13245,0.04789,2.05083,2.80534,2.58626,2.03563,0,0.000997803,0.000997803,0.000997803
5,1501.2,1.96641,2.78939,2.49152,2.04458,0,0.50821,0.30522,0.18185,0.06549,0.52142,0.31946,0.21539,0.07825,1.99681,2.67669,2.58896,1.98459,0,0.000996097,0.000996097,0.000996097
6,1799.08,1.89593,2.6464,2.3766,2.00367,0,0.31648,0.24981,0.18956,0.06608,0.37093,0.26499,0.22062,0.07795,1.92834,2.89373,2.00179,1.93228,0,0.000993906,0.000993906,0.000993906
7,2096.88,1.86096,2.60772,2.28736,1.95259,0,0.54405,0.25624,0.19087,0.07186,0.56134,0.26972,0.21457,0.082,1.92321,2.62402,1.97096,1.93403,0,0.000991232,0.000991232,0.000991232
8,2394.99,1.84056,2.59131,2.3125,1.9511,0,0.28963,0.28662,0.21471,0.08167,0.27726,0.29225,0.23945,0.09903,1.93632,2.41331,1.83752,1.92359,0,0.000988079,0.000988079,0.000988079
9,2692.9,1.8463,2.54967,2.2337,1.95043,0,0.55536,0.22777,0.20175,0.07853,0.57745,0.2742,0.21453,0.08681,1.90594,2.61735,1.91226,1.91825,0,0.000984449,0.000984449,0.000984449
10,2990.35,1.79388,2.51666,2.1728,1.89654,0,0.2139,0.26867,0.17796,0.07217,0.22498,0.26092,0.18819,0.07633,1.87541,2.73226,2.04535,1.895,0,0.000980345,0.000980345,0.000980345
11,3287.82,1.77377,2.49351,2.12915,1.88156,0,0.3871,0.1944,0.19799,0.07967,0.39079,0.2006,0.21705,0.09313,1.80078,2.34106,1.96679,1.82991,0,0.000975773,0.000975773,0.000975773
12,3585.46,1.78474,2.45968,2.10356,1.91021,0,0.24808,0.39919,0.23937,0.10672,0.21089,0.43946,0.25444,0.11201,1.79555,2.48946,1.90473,1.83118,0,0.000970736,0.000970736,0.000970736
13,3883.07,1.743,2.40382,2.04892,1.84562,0,0.2167,0.38203,0.2161,0.09849,0.22376,0.39629,0.22945,0.10828,1.75319,2.32155,1.8975,1.79687,0,0.000965239,0.000965239,0.000965239
14,4180.8,1.75061,2.42781,2.05113,1.84998,0,0.55629,0.35587,0.2488,0.11184,0.56751,0.36653,0.27094,0.12938,1.74046,2.2663,1.7147,1.77188,0,0.000959289,0.000959289,0.000959289
15,4478.39,1.73502,2.40508,2.03361,1.8469,0,0.29671,0.28373,0.24685,0.11119,0.30662,0.2916,0.2624,0.12285,1.78075,2.33125,1.8809,1.79287,0,0.000952889,0.000952889,0.000952889
